tweet_id,favorite_count,retweet_count
892420643555336193,33695,6969
892177421306343426,29222,5272
891815181378084864,21978,3464
891689557279858688,36788,7191
891327558926688256,35182,7715
891087950875897856,17748,2586
890971913173991426,10330,1647
890729181411237888,56663,15679
890609185150312448,24426,3604
890240255349198849,27848,6067
890006608113172480,26945,6111
889880896479866881,24489,4141
889665388333682689,41880,8302
889638837579907072,23581,3700
889531135344209921,13313,1874
889278841981685760,22025,4419
888917238123831296,25533,3742
888804989199671297,22393,3513
888554962724278272,17250,2863
888078434458587136,19100,2885
887705289381826560,26527,4516
887517139158093824,40586,9810
887473957103951883,59979,14952
887343217045368832,29489,8773
887101392804085760,26898,4969
886983233522544640,30241,6287
886736880519319552,10453,2616
886680336477933568,19656,3720
886366144734445568,18489,2613
886267009285017600,105,4
886258384151887873,24444,5253
886054160059072513,0,93
885984800019947520,28500,5589
885528943205470208,31484,5306
885518971528720385,17939,3097
885311592912609280,0,15364
885167619883638784,19189,3652
884925521741709313,67016,14943
884876753390489601,24301,4639
884562892145688576,21243,3896
884441805382717440,23781,4776
884247878851493888,63018,16822
884162670584377345,17888,2493
883838122936631299,19092,2849
883482846933004288,40047,8221
883360690899218434,19877,3061
883117836046086144,32387,5513
882992080364220416,20917,3229
882762694511734784,24695,4077
882627270321602560,24527,5042
882268110199369728,39041,9583
882045870035918850,25627,4066
881906580714921986,21373,2839
881666595344535552,44386,8912
881633300179243008,113,8
881536004380872706,43281,13349
881268444196462592,20428,4481
880935762899988482,14996,2325
880872448815771648,18655,3191
880465832366813184,24928,5192
880221127280381952,23575,3448
880095782870896641,24235,3634
879862464715927552,19638,2913
879674319642796034,282,9
879492040517615616,20648,2619
879415818425184262,92500,37263
879376492567855104,14809,2634
879130579576475649,0,5710
879050749262655488,19744,3935
879008229531029506,16725,2230
878776093423087618,17085,3418
878604707211726852,26354,5897
878404777348136964,0,1070
878316110768087041,0,5501
878281511006478336,6755,1070
878057613040115712,37015,5710
877736472329191424,69043,15734
877611172832227328,0,70
877556246731214848,19837,3152
877316821321428993,24072,4321
877201837425926144,23795,4602
876838120628539392,18166,2795
876537666061221889,20989,3961
876484053909872640,16510,1989
876120275196170240,24611,3890
875747767867523072,22034,3567
875144289856114688,19368,4132
875097192612077568,24171,5092
875021211251597312,22491,3954
874680097055178752,24521,3906
874434818259525634,0,12159
874296783580663808,22884,3470
874057562936811520,20056,3368
874012996292530176,30023,8551
873580283840344065,21310,3333
873337748698140672,0,1327
873213775632977920,6300,1327
872967104147763200,23980,4544
872820683541237760,13031,3157
872620804844003328,18273,3058
872486979161796608,35989,7682
872122724285648897,30104,6803
871879754684805121,32971,9210
871762521631449091,17817,2958
871515927908634625,17847,2924
871166179821445120,0,4878
871102520638267392,18491,4652
871032628920680449,20092,3213
870804317367881728,29703,5264
870726314365509632,105,3
870656317836468226,10858,2190
870374049280663552,73715,22657
870308999962521604,19421,3534
870063196459192321,32310,7050
869772420881756160,37893,8659
869702957897576449,24968,5363
869596645499047938,14148,2629
869227993411051520,18085,3188
868880397819494401,57749,12200
868639477480148993,0,1742
868622495443632128,23570,4444
868552278524837888,8934,1742
867900495410671616,21530,3554
867774946302451713,30167,6229
867421006826221569,14296,2109
867072653475098625,0,100
867051520902168576,28607,6755
866720684873056260,17804,4118
866686824827068416,17068,2953
866450705531457537,108495,30057
866334964761202691,46428,12159
866094527597207552,0,7133
865718153858494464,22859,4814
865359393868664832,23520,4270
865006731092295680,24957,6633
864873206498414592,28750,7475
864279568663928832,13034,2571
864197398364647424,26551,7554
863907417377173506,18379,3577
863553081350529029,13631,3612
863471782782697472,0,2084
863432100342583297,21226,4542
863427515083354112,1956,80
863079547188785154,7877,949
863062471531167744,7502,2084
862831371563274240,17176,4442
862722525377298433,15290,3075
862457590147678208,18217,4231
862096992088072192,66058,19905
861383897657036800,32189,9228
861288531465048066,15305,3574
861005113778896900,14942,3319
860981674716409858,0,1850
860924035999428608,0,675
860563773140209665,6701,1850
860524505164394496,21197,4582
860276583193509888,16529,3056
860184849394610176,14961,5104
860177593139703809,0,26610
859924526012018688,17572,3573
859851578198683649,13948,3057
859607811541651456,16789,1360
859196978902773760,80300,26174
859074603037188101,30337,11919
858860390427611136,0,7050
858843525470990336,14091,3018
858471635011153920,19422,4241
858107933456039936,14190,2532
857989990357356544,14452,2259
857746408056729600,30708,9312
857393404942143489,5291,1437
857263160327368704,18206,3959
857214891891077121,203,16
857062103051644929,0,146
857029823797047296,17004,3471
856543823941562368,14788,2534
856526610513747968,10792,1651
856288084350160898,489,15
856282028240666624,25167,5564
855862651834028034,302,21
855860136149123072,4396,849
855857698524602368,10835,1853
855851453814013952,41807,16076
855818117272018944,24217,4798
855459453768019968,27024,7281
855245323840757760,0,5246
855138241867124737,0,36
854732716440526848,20624,5326
854482394044301312,26493,6000
854365224396361728,17153,4132
854120357044912130,29150,6570
854010172552949760,14799,2784
853760880890318849,26009,5103
853639147608842240,31455,8835
853299958564483072,14130,3160
852936405516943360,0,1782
852912242202992640,8228,1591
852672615818899456,13610,1904
852553447878664193,14856,3100
852311364735569921,30275,8839
852226086759018497,18305,6071
852189679701164033,10554,1414
851591660324737024,14921,3118
851464819735769094,22221,6290
851224888060895234,18992,5157
850753642995093505,28066,8052
850380195714523136,12049,2325
850333567704068097,3184,301
850145622816686080,15009,3385
